Crop_Type,Soil_Type,Nitrogen_N,Phosphorus_P,Potassium_K,pH_Level,Temperature_C,Humidity_%,Soil_Moisture_%,Rainfall_mm,Fertilizer_Recommendation,Irrigation_Method,Water_Requirement_mm
Orange,Black,52,12,101,7.4,24,75,60,198,Urea,Drip,0.0
Kidneybeans,Sandy Loam,1,66,38,6.6,25,76,84,127,Organic Compost / General,Sprinkler,0.0
Pigeonpeas,Loamy,3,44,8,7.5,21,57,80,221,Organic Compost / General,Drip,0.0
Mothbeans,Sandy,15,38,9,6.6,34,66,88,205,Organic Compost / General,Drip,0.0
Blackgram,Loamy,14,22,2,7.2,23,41,93,189,SSP,Furrow,0.0
Muskmelon,Sandy Loam,51,44,147,7.5,26,32,55,118,Organic Compost / General,Drip,0.0
Orange,Black,97,28,109,6.4,21,74,28,0,SSP,Drip,40.5
Pigeonpeas,Loamy,0,66,11,7.2,27,35,76,123,Organic Compost / General,Drip,0.0
Coconut,Red,129,69,149,5.9,23,30,95,136,Organic Compost / General,Basin,0.0
Rice,Clay,105,50,79,5.2,18,37,71,161,Organic Compost / General,Flood,0.0
Coconut,Red,82,41,119,5.6,37,66,68,236,MOP,Basin,0.0
Banana,Clay,123,87,207,7.2,26,80,89,219,Organic Compost / General,Drip,0.0
Chickpea,Loamy,14,50,17,6.1,19,67,83,90,Organic Compost / General,Sprinkler,0.0
Banana,Clay,143,74,204,6.2,20,35,71,128,Organic Compost / General,Drip,0.0
Pomegranate,Sandy,47,50,104,6.8,23,57,44,55,Organic Compost / General,Drip,0.0
Muskmelon,Sandy Loam,46,26,50,6.8,33,79,21,126,NPK 10-26-26,Drip,0.0
Pomegranate,Sandy,50,45,85,6.0,32,54,85,18,Organic Compost / General,Drip,0.0
Cotton,Black,84,4,52,6.2,21,44,26,123,DAP,Drip,0.0
Kidneybeans,Sandy Loam,0,41,14,5.8,30,34,34,203,Organic Compost / General,Sprinkler,0.0
Pomegranate,Sandy,28,26,123,7.0,33,70,71,88,Urea,Drip,0.0
Maize,Sandy Loam,114,45,34,7.2,38,87,58,217,Organic Compost / General,Furrow,0.0
Banana,Clay,134,40,176,6.9,23,33,52,73,SSP,Drip,0.0
Orange,Black,107,36,97,5.9,21,37,35,62,Organic Compost / General,Drip,0.0
Cotton,Black,119,50,77,6.6,17,36,61,123,Organic Compost / General,Drip,0.0
Maize,Sandy Loam,115,94,42,6.5,25,41,89,223,Organic Compost / General,Furrow,0.0
Papaya,Loamy,103,59,70,6.5,26,78,67,127,Organic Compost / General,Drip,0.0
Rice,Clay,84,49,57,6.6,27,58,74,234,Organic Compost / General,Flood,0.0
Rice,Clay,101,31,17,5.3,30,71,25,101,MOP,Flood,9.2
Pigeonpeas,Loamy,0,75,3,7.1,29,80,34,168,Organic Compost / General,Drip,0.0
Pomegranate,Sandy,96,48,72,6.6,16,63,36,161,Organic Compost / General,Drip,0.0
Coconut,Red,100,39,123,6.8,25,54,31,13,Organic Compost / General,Basin,51.0
Maize,Sandy Loam,97,29,36,6.9,21,85,70,148,DAP,Furrow,0.0
Papaya,Loamy,104,10,77,7.3,29,48,24,42,DAP,Drip,20.4
Mothbeans,Sandy,46,61,2,6.5,38,34,75,238,Organic Compost / General,Drip,0.0
Apple,Clay Loam,76,36,132,6.5,20,42,61,212,Organic Compost / General,Drip,0.0
Rice,Clay,64,25,50,6.9,29,66,34,51,Ammonium Sulphate,Flood,35.7
Apple,Clay Loam,92,28,93,5.5,31,74,67,145,SSP,Drip,0.0
Mothbeans,Sandy,27,11,24,6.7,21,89,46,113,SSP,Drip,0.0
Pigeonpeas,Loamy,0,48,13,7.7,35,55,70,245,Organic Compost / General,Drip,0.0
Jute,Clay,72,28,14,7.1,22,55,80,154,Organic Compost / General,Flood,0.0
Mothbeans,Sandy,0,54,14,7.9,31,60,58,231,Organic Compost / General,Drip,0.0
Muskmelon,Sandy Loam,76,30,88,7.3,17,44,40,129,Organic Compost / General,Drip,0.0
Rice,Clay,61,36,38,5.7,34,69,76,236,Organic Compost / General,Flood,0.0
Blackgram,Loamy,0,12,3,7.3,20,80,46,138,DAP,Furrow,0.0
Coffee,Red,87,41,71,6.6,17,73,64,103,Organic Compost / General,Sprinkler,0.0
Lentil,Loamy,15,16,32,6.5,21,64,61,160,DAP,Sprinkler,0.0
Papaya,Loamy,95,35,66,7.2,21,72,56,126,SSP,Drip,0.0
Pomegranate,Sandy,33,59,113,7.6,26,88,51,246,Urea,Drip,0.0
Muskmelon,Sandy Loam,75,40,108,7.2,24,66,89,31,Organic Compost / General,Drip,0.0
Papaya,Loamy,75,36,97,6.3,27,52,59,143,Ammonium Sulphate,Drip,0.0
Kidneybeans,Sandy Loam,21,29,25,6.6,38,87,82,46,SSP,Sprinkler,0.0
Kidneybeans,Sandy Loam,0,47,0,6.6,15,80,95,214,MOP,Sprinkler,0.0
Coconut,Red,85,46,176,5.8,16,62,64,182,Organic Compost / General,Basin,0.0
Apple,Clay Loam,101,59,112,6.5,20,60,85,75,Organic Compost / General,Drip,0.0
Watermelon,Sandy,39,29,76,7.3,32,79,55,240,Urea,Drip,0.0
Apple,Clay Loam,66,34,116,5.4,37,34,40,221,Organic Compost / General,Drip,0.0
Mothbeans,Sandy,33,14,15,8.1,27,77,32,109,SSP,Drip,0.0
Blackgram,Loamy,13,61,17,7.3,22,86,34,148,Organic Compost / General,Furrow,0.0
Mothbeans,Sandy,0,39,0,7.1,28,88,62,100,Organic Compost / General,Drip,0.0
Banana,Clay,182,83,161,7.7,21,68,73,152,MOP,Drip,0.0
Apple,Clay Loam,74,48,113,6.2,38,76,52,87,Organic Compost / General,Drip,0.0
Blackgram,Loamy,0,18,0,6.0,25,68,61,170,DAP,Furrow,0.0
Banana,Clay,163,72,211,8.0,20,47,54,121,Organic Compost / General,Drip,0.0
Papaya,Loamy,69,45,85,6.4,29,90,53,204,Organic Compost / General,Drip,0.0
Coffee,Red,96,20,44,5.2,33,49,37,183,MOP,Sprinkler,0.0
Chickpea,Loamy,0,48,35,7.8,18,31,29,196,Organic Compost / General,Sprinkler,0.0
Apple,Clay Loam,89,65,108,7.2,29,52,30,84,Organic Compost / General,Drip,0.0
Mothbeans,Sandy,0,36,18,8.3,17,85,78,190,Organic Compost / General,Drip,0.0
Coconut,Red,99,30,121,6.8,37,43,63,164,Organic Compost / General,Basin,0.0
Coconut,Red,89,45,178,7.0,31,54,81,243,Organic Compost / General,Basin,0.0
Rice,Clay,93,32,56,6.1,24,90,56,3,Organic Compost / General,Flood,43.5
Blackgram,Loamy,1,42,20,5.8,33,71,53,68,Organic Compost / General,Furrow,0.0
Muskmelon,Sandy Loam,73,18,94,5.5,36,62,60,27,DAP,Drip,0.0
Watermelon,Sandy,62,3,115,6.8,24,36,56,72,DAP,Drip,0.0
Jute,Clay,68,45,22,5.6,25,49,71,101,Organic Compost / General,Flood,0.0
Maize,Sandy Loam,86,56,12,6.3,37,46,28,136,MOP,Furrow,0.0
Maize,Sandy Loam,89,36,49,7.0,16,69,46,94,Ammonium Sulphate,Furrow,0.0
Coconut,Red,74,36,149,7.1,30,77,67,171,Urea,Basin,0.0
Coffee,Red,85,38,55,4.9,17,86,33,175,Organic Compost / General,Sprinkler,0.0
Pomegranate,Sandy,78,32,67,7.8,20,84,80,249,MOP,Drip,0.0
Mango,Loamy,81,39,91,5.6,26,38,44,52,Organic Compost / General,Drip,0.0
Apple,Clay Loam,34,43,120,6.1,37,84,79,175,Urea,Drip,0.0
Mango,Loamy,60,18,82,6.6,36,30,86,171,Ammonium Sulphate,Drip,0.0
Pigeonpeas,Loamy,18,52,21,7.9,15,58,92,83,Organic Compost / General,Drip,0.0
Papaya,Loamy,39,40,80,6.8,35,78,54,99,Urea,Drip,0.0
Cotton,Black,126,28,23,8.2,34,54,51,11,MOP,Drip,0.0
Blackgram,Loamy,38,38,17,6.9,33,57,29,157,Organic Compost / General,Furrow,0.0
Pigeonpeas,Loamy,0,55,30,6.0,21,63,44,107,Organic Compost / General,Drip,0.0
Papaya,Loamy,82,17,80,6.7,34,66,88,45,DAP,Drip,0.0
Maize,Sandy Loam,92,52,70,5.8,34,69,70,91,Organic Compost / General,Furrow,0.0
Orange,Black,42,30,50,7.0,29,34,70,142,Urea,Drip,0.0
Mothbeans,Sandy,30,44,0,7.2,19,48,80,190,Organic Compost / General,Drip,0.0
Maize,Sandy Loam,155,55,29,7.1,23,36,26,247,Organic Compost / General,Furrow,0.0
Mango,Loamy,80,17,90,6.3,29,83,27,119,SSP,Drip,0.0
Watermelon,Sandy,57,34,57,6.7,23,43,22,249,MOP,Drip,0.0
Chickpea,Loamy,9,54,0,7.8,36,50,42,99,MOP,Sprinkler,0.0
Maize,Sandy Loam,110,41,25,6.8,27,41,85,100,Organic Compost / General,Furrow,0.0
Mango,Loamy,60,23,108,6.1,27,66,46,197,Organic Compost / General,Drip,0.0
Maize,Sandy Loam,112,47,4,7.1,25,63,86,232,MOP,Furrow,0.0
Orange,Black,75,29,53,6.0,21,46,66,239,MOP,Drip,0.0
Apple,Clay Loam,74,46,89,5.2,25,36,67,136,MOP,Drip,0.0
Apple,Clay Loam,57,62,136,5.4,16,32,38,188,Urea,Drip,0.0
Mango,Loamy,78,37,102,5.4,28,55,87,126,Organic Compost / General,Drip,0.0
Banana,Clay,124,72,175,6.8,26,67,71,213,Organic Compost / General,Drip,0.0
Mothbeans,Sandy,2,0,13,8.2,31,81,63,161,DAP,Drip,0.0
Jute,Clay,54,39,42,6.0,29,64,38,14,Organic Compost / General,Flood,63.0
Coconut,Red,108,56,134,6.0,33,78,85,195,Organic Compost / General,Basin,0.0
Orange,Black,78,41,87,7.8,21,87,38,22,Organic Compost / General,Drip,7.9
Watermelon,Sandy,53,39,64,5.5,29,49,27,133,Organic Compost / General,Drip,0.0
Orange,Black,97,26,92,6.1,17,51,66,183,SSP,Drip,0.0
Grapes,Sandy Loam,44,80,125,7.8,26,79,69,80,Organic Compost / General,Drip,0.0
Jute,Clay,46,28,0,7.3,26,40,26,60,MOP,Flood,33.0
Pomegranate,Sandy,82,36,87,6.0,18,61,68,140,Organic Compost / General,Drip,0.0
Rice,Clay,60,40,47,6.8,37,70,92,8,Organic Compost / General,Flood,0.0
Cotton,Black,36,43,70,6.0,36,79,38,15,Urea,Drip,18.0
Rice,Clay,99,65,36,6.3,30,58,41,152,Organic Compost / General,Flood,0.0
Lentil,Loamy,15,26,20,6.9,22,65,84,121,SSP,Sprinkler,0.0
Chickpea,Loamy,35,58,51,6.4,18,78,21,235,Organic Compost / General,Sprinkler,0.0
Coconut,Red,78,49,124,6.9,35,71,85,246,Urea,Basin,0.0
Banana,Clay,124,42,201,7.9,36,50,87,171,Ammonium Sulphate,Drip,0.0
Pomegranate,Sandy,55,58,85,6.3,37,57,63,208,Organic Compost / General,Drip,0.0
Chickpea,Loamy,0,56,12,6.1,27,55,94,173,Organic Compost / General,Sprinkler,0.0
Muskmelon,Sandy Loam,73,22,108,6.7,25,39,29,59,SSP,Drip,0.0
Coffee,Red,75,14,37,4.7,16,79,52,34,MOP,Sprinkler,0.0
Orange,Black,47,53,68,5.8,29,36,77,209,Urea,Drip,0.0
Blackgram,Loamy,0,44,28,7.3,29,65,56,42,Organic Compost / General,Furrow,0.0
Kidneybeans,Sandy Loam,2,39,65,6.5,36,58,47,40,Organic Compost / General,Sprinkler,0.0
Mothbeans,Sandy,14,32,30,8.1,25,52,71,174,Organic Compost / General,Drip,0.0
Mungbean,Sandy Loam,9,54,36,7.5,22,58,63,232,Organic Compost / General,Sprinkler,0.0
Coffee,Red,84,54,66,5.5,38,83,92,11,Organic Compost / General,Sprinkler,0.0
Muskmelon,Sandy Loam,63,27,82,6.4,31,68,65,132,Ammonium Sulphate,Drip,0.0
Blackgram,Loamy,36,56,44,6.6,23,75,77,236,Organic Compost / General,Furrow,0.0
Pomegranate,Sandy,37,46,68,7.5,31,87,55,129,Urea,Drip,0.0
Muskmelon,Sandy Loam,124,21,88,6.6,36,44,78,116,SSP,Drip,0.0
Pomegranate,Sandy,50,54,88,6.4,15,82,44,21,Organic Compost / General,Drip,0.0
Watermelon,Sandy,66,35,60,6.1,37,88,69,1,Organic Compost / General,Drip,0.0
Banana,Clay,129,38,215,7.0,26,90,45,122,DAP,Drip,0.0
Cotton,Black,115,41,61,8.0,16,85,32,22,Organic Compost / General,Drip,9.4
Papaya,Loamy,50,36,68,7.4,29,61,91,185,Urea,Drip,0.0
Mango,Loamy,116,19,89,5.7,37,36,63,26,SSP,Drip,0.0
Coffee,Red,45,39,73,6.0,24,77,90,217,Urea,Sprinkler,0.0
Kidneybeans,Sandy Loam,9,17,40,5.6,15,34,74,7,DAP,Sprinkler,0.0
Blackgram,Loamy,4,25,17,5.5,32,88,44,142,Ammonium Sulphate,Furrow,0.0
Papaya,Loamy,103,65,44,6.9,30,33,91,66,MOP,Drip,0.0
Papaya,Loamy,49,62,48,5.9,25,37,77,14,Urea,Drip,0.0
Kidneybeans,Sandy Loam,0,58,38,6.3,23,40,73,157,Organic Compost / General,Sprinkler,0.0
Banana,Clay,113,42,234,7.4,26,49,50,106,Ammonium Sulphate,Drip,0.0
Watermelon,Sandy,38,30,124,6.5,32,59,27,237,Urea,Drip,0.0
Jute,Clay,39,18,43,6.6,19,32,43,163,Urea,Flood,0.0
Maize,Sandy Loam,68,51,47,7.1,33,34,37,169,Urea,Furrow,0.0
Grapes,Sandy Loam,79,46,160,7.7,18,63,83,65,Organic Compost / General,Drip,0.0
Grapes,Sandy Loam,41,56,142,7.2,33,68,54,246,Organic Compost / General,Drip,0.0
Grapes,Sandy Loam,22,37,151,6.3,16,38,24,132,Urea,Drip,0.0
Pomegranate,Sandy,68,38,120,7.0,32,56,28,235,Organic Compost / General,Drip,0.0
Blackgram,Loamy,2,52,10,5.7,17,64,44,176,Organic Compost / General,Furrow,0.0
Cotton,Black,64,32,72,5.6,33,77,37,0,Urea,Drip,19.5
Blackgram,Loamy,11,56,0,7.3,24,55,23,145,Organic Compost / General,Furrow,0.0
Chickpea,Loamy,0,11,41,7.4,22,53,82,79,DAP,Sprinkler,0.0
Rice,Clay,84,43,23,5.3,22,61,84,136,Organic Compost / General,Flood,0.0
Mango,Loamy,79,12,63,6.6,28,31,45,123,MOP,Drip,0.0
Rice,Clay,79,37,65,6.0,29,31,82,112,Organic Compost / General,Flood,0.0
Orange,Black,101,52,130,5.8,33,56,39,230,Organic Compost / General,Drip,0.0
Maize,Sandy Loam,105,50,55,6.2,34,34,30,158,Organic Compost / General,Furrow,0.0
Mango,Loamy,81,28,45,7.4,35,82,59,28,MOP,Drip,0.0
Mungbean,Sandy Loam,32,62,38,6.0,33,86,53,40,Organic Compost / General,Sprinkler,0.0
Cotton,Black,63,34,63,7.6,21,56,25,135,Urea,Drip,0.0
Orange,Black,71,39,65,7.4,30,33,71,54,MOP,Drip,0.0
Watermelon,Sandy,68,25,101,6.9,15,66,92,52,SSP,Drip,0.0
Orange,Black,92,47,109,7.6,37,82,78,19,Organic Compost / General,Drip,0.0
Chickpea,Loamy,15,62,20,6.2,17,79,55,183,Organic Compost / General,Sprinkler,0.0
Lentil,Loamy,0,33,14,6.1,26,69,53,213,Organic Compost / General,Sprinkler,0.0
Maize,Sandy Loam,91,52,66,6.8,18,33,24,176,Organic Compost / General,Furrow,0.0
Jute,Clay,67,28,13,7.3,20,30,29,185,Organic Compost / General,Flood,0.0
Pomegranate,Sandy,64,11,106,6.8,30,55,63,4,DAP,Drip,0.0
Jute,Clay,99,26,49,7.2,20,46,84,44,Organic Compost / General,Flood,0.0
Papaya,Loamy,101,36,66,6.7,29,68,63,139,SSP,Drip,0.0
Pigeonpeas,Loamy,6,67,20,7.3,15,60,57,190,Organic Compost / General,Drip,0.0
Kidneybeans,Sandy Loam,0,40,38,5.9,34,69,64,95,Organic Compost / General,Sprinkler,0.0
Mothbeans,Sandy,7,28,20,7.6,35,43,30,46,Organic Compost / General,Drip,0.0
Cotton,Black,112,11,79,7.7,37,44,58,155,DAP,Drip,0.0
Lentil,Loamy,14,23,23,7.3,24,75,60,210,SSP,Sprinkler,0.0
Chickpea,Loamy,0,47,41,6.0,25,80,62,150,Organic Compost / General,Sprinkler,0.0
Pigeonpeas,Loamy,19,31,18,6.5,38,31,22,60,SSP,Drip,0.0
Watermelon,Sandy,44,28,92,6.6,38,76,41,184,Ammonium Sulphate,Drip,0.0
Mothbeans,Sandy,0,14,0,6.4,16,57,23,137,SSP,Drip,0.0
Blackgram,Loamy,25,34,0,7.0,22,54,85,66,Organic Compost / General,Furrow,0.0
Coconut,Red,136,56,121,5.0,36,47,76,145,Organic Compost / General,Basin,0.0
Chickpea,Loamy,18,50,61,7.0,28,61,56,106,Organic Compost / General,Sprinkler,0.0
Rice,Clay,91,47,28,6.4,17,86,35,68,Organic Compost / General,Flood,20.6
Coconut,Red,98,52,92,5.5,18,46,85,133,MOP,Basin,0.0
Maize,Sandy Loam,110,42,36,7.0,36,31,58,55,Organic Compost / General,Furrow,0.0
Banana,Clay,106,92,214,7.7,37,82,33,62,Urea,Drip,5.9
Watermelon,Sandy,50,43,115,6.8,15,35,39,49,Organic Compost / General,Drip,0.0
Pomegranate,Sandy,53,0,128,7.1,38,85,47,44,DAP,Drip,0.0
Orange,Black,93,50,91,6.0,38,45,32,215,Organic Compost / General,Drip,0.0
Orange,Black,75,41,126,5.6,27,34,55,81,Organic Compost / General,Drip,0.0
Grapes,Sandy Loam,48,40,119,5.8,26,34,47,27,MOP,Drip,0.0
Pomegranate,Sandy,48,35,90,6.7,22,64,40,41,Organic Compost / General,Drip,0.0
Orange,Black,108,71,84,6.7,38,56,38,7,Organic Compost / General,Drip,25.5
Watermelon,Sandy,60,33,103,6.3,31,31,52,130,Organic Compost / General,Drip,0.0
Pomegranate,Sandy,62,47,84,6.7,31,90,73,234,Organic Compost / General,Drip,0.0
Lentil,Loamy,17,41,30,7.0,27,61,35,170,Organic Compost / General,Sprinkler,0.0
Maize,Sandy Loam,155,27,24,7.3,15,37,31,146,DAP,Furrow,0.0
Mungbean,Sandy Loam,0,59,1,5.9,28,63,78,188,MOP,Sprinkler,0.0
Pigeonpeas,Loamy,26,43,11,5.8,35,87,66,99,Organic Compost / General,Drip,0.0
Coconut,Red,85,32,108,5.2,15,70,44,139,MOP,Basin,0.0
Maize,Sandy Loam,89,61,30,7.4,21,80,90,28,Organic Compost / General,Furrow,0.0
Apple,Clay Loam,121,45,112,6.8,25,64,53,34,Organic Compost / General,Drip,0.0
Mango,Loamy,53,59,106,6.6,29,48,63,221,Urea,Drip,0.0
Pigeonpeas,Loamy,23,6,57,5.5,16,33,88,167,DAP,Drip,0.0
Chickpea,Loamy,6,70,8,6.0,29,90,46,114,MOP,Sprinkler,0.0
Coconut,Red,119,23,183,6.2,23,43,86,11,SSP,Basin,0.0
Mungbean,Sandy Loam,0,33,22,6.9,23,70,88,60,Organic Compost / General,Sprinkler,0.0
Orange,Black,92,57,94,7.4,34,67,70,167,Organic Compost / General,Drip,0.0
Pomegranate,Sandy,45,16,138,6.9,31,53,35,53,DAP,Drip,0.0
Mothbeans,Sandy,11,40,48,6.4,28,38,42,105,Organic Compost / General,Drip,0.0
Pomegranate,Sandy,42,59,95,7.1,24,55,27,250,Organic Compost / General,Drip,0.0
Coconut,Red,119,34,135,7.1,22,39,64,144,Organic Compost / General,Basin,0.0
Muskmelon,Sandy Loam,62,53,105,7.9,21,51,33,120,Organic Compost / General,Drip,0.0
Coffee,Red,92,51,85,5.9,25,81,93,181,Organic Compost / General,Sprinkler,0.0
Cotton,Black,59,47,72,7.5,31,59,43,106,Urea,Drip,0.0
Watermelon,Sandy,96,34,75,6.0,24,54,45,227,Organic Compost / General,Drip,0.0
Blackgram,Loamy,6,23,22,7.8,22,60,36,245,Ammonium Sulphate,Furrow,0.0
Grapes,Sandy Loam,44,73,176,6.9,31,68,29,171,Organic Compost / General,Drip,0.0
Jute,Clay,69,9,11,7.0,21,36,36,107,DAP,Flood,0.0
Cotton,Black,88,17,108,7.2,30,49,71,96,DAP,Drip,0.0
Cotton,Black,65,25,61,7.7,28,65,82,220,Urea,Drip,0.0
Cotton,Black,101,53,42,6.0,24,42,87,194,Organic Compost / General,Drip,0.0
Jute,Clay,47,44,68,7.2,21,78,43,77,Organic Compost / General,Flood,0.0
Papaya,Loamy,67,50,62,6.8,16,87,75,35,Organic Compost / General,Drip,0.0
Watermelon,Sandy,71,25,69,6.4,32,78,53,172,SSP,Drip,0.0
Coffee,Red,103,48,87,4.8,38,60,28,120,Organic Compost / General,Sprinkler,0.0
Pigeonpeas,Loamy,0,64,52,7.5,21,36,65,2,Organic Compost / General,Drip,0.0
Lentil,Loamy,0,43,14,6.6,28,47,58,74,Organic Compost / General,Sprinkler,0.0
Papaya,Loamy,93,67,81,6.3,17,58,60,247,Organic Compost / General,Drip,0.0
Papaya,Loamy,103,52,72,5.8,24,55,38,225,Organic Compost / General,Drip,0.0
Pigeonpeas,Loamy,0,67,14,5.7,35,72,24,93,Organic Compost / General,Drip,0.0
Banana,Clay,125,73,191,5.9,15,78,63,6,Organic Compost / General,Drip,10.5
Pomegranate,Sandy,88,39,81,6.6,18,38,39,9,Organic Compost / General,Drip,16.5
Orange,Black,112,65,94,7.3,29,56,28,250,Organic Compost / General,Drip,0.0
Papaya,Loamy,66,20,62,7.0,22,89,88,122,DAP,Drip,0.0
Orange,Black,71,35,49,5.9,30,34,82,195,MOP,Drip,0.0
Mungbean,Sandy Loam,20,29,34,6.4,20,44,61,248,SSP,Sprinkler,0.0
Pigeonpeas,Loamy,0,45,21,5.8,33,48,79,138,Organic Compost / General,Drip,0.0
Lentil,Loamy,29,47,26,6.0,16,90,84,112,Organic Compost / General,Sprinkler,0.0
Apple,Clay Loam,75,44,120,5.5,18,34,51,7,Organic Compost / General,Drip,13.5
Mothbeans,Sandy,0,49,27,7.1,33,35,70,10,Organic Compost / General,Drip,0.0
Blackgram,Loamy,0,48,0,7.7,17,73,86,132,Organic Compost / General,Furrow,0.0
Pigeonpeas,Loamy,39,51,37,6.9,16,52,74,225,Organic Compost / General,Drip,0.0
Muskmelon,Sandy Loam,81,27,108,5.6,24,48,78,28,SSP,Drip,0.0
Coffee,Red,63,32,107,5.6,26,35,69,223,Organic Compost / General,Sprinkler,0.0
Papaya,Loamy,95,66,88,6.2,37,88,61,127,Organic Compost / General,Drip,0.0
Coffee,Red,61,10,48,5.9,17,78,57,171,NPK 10-26-26,Sprinkler,0.0
Banana,Clay,105,78,197,7.4,21,37,40,200,Urea,Drip,0.0
Jute,Clay,54,52,24,7.2,19,58,42,238,Organic Compost / General,Flood,0.0
Maize,Sandy Loam,118,48,54,5.6,27,74,57,140,Organic Compost / General,Furrow,0.0
Rice,Clay,78,4,62,6.3,17,68,64,28,DAP,Flood,9.1
Orange,Black,119,30,81,6.2,31,31,26,60,Organic Compost / General,Drip,0.0
Banana,Clay,125,73,212,7.3,27,59,31,180,Organic Compost / General,Drip,0.0
Maize,Sandy Loam,84,41,56,5.6,32,88,27,125,Organic Compost / General,Furrow,0.0
Rice,Clay,78,32,18,6.5,17,80,81,20,MOP,Flood,6.0
Maize,Sandy Loam,87,24,36,5.6,38,59,30,37,DAP,Furrow,15.4
Lentil,Loamy,52,43,2,6.4,17,78,44,95,Organic Compost / General,Sprinkler,0.0
Coffee,Red,75,40,90,4.8,15,73,59,58,Organic Compost / General,Sprinkler,0.0
Pomegranate,Sandy,83,39,97,6.2,19,49,51,98,Organic Compost / General,Drip,0.0
Chickpea,Loamy,0,57,57,7.9,27,49,32,46,Organic Compost / General,Sprinkler,0.0
Coffee,Red,86,22,62,5.9,23,33,69,59,Organic Compost / General,Sprinkler,0.0
Maize,Sandy Loam,79,63,27,5.5,28,63,50,84,Urea,Furrow,0.0
Cotton,Black,106,55,16,5.9,34,40,75,75,MOP,Drip,0.0
Chickpea,Loamy,48,50,15,7.0,15,83,47,101,Organic Compost / General,Sprinkler,0.0
Coconut,Red,86,25,149,6.1,26,89,83,217,Ammonium Sulphate,Basin,0.0
Pomegranate,Sandy,62,27,81,6.1,15,83,88,156,SSP,Drip,0.0
Papaya,Loamy,78,36,83,7.0,27,89,37,163,Ammonium Sulphate,Drip,0.0
Cotton,Black,83,16,71,7.2,27,90,21,209,DAP,Drip,0.0
Jute,Clay,57,9,11,6.4,38,85,83,159,DAP,Flood,0.0
Jute,Clay,66,47,11,6.2,16,50,28,230,Organic Compost / General,Flood,0.0
Mungbean,Sandy Loam,30,33,16,7.3,26,78,43,236,Organic Compost / General,Sprinkler,0.0
Coffee,Red,112,30,109,6.2,31,58,90,37,Organic Compost / General,Sprinkler,0.0
Pomegranate,Sandy,53,55,109,7.7,30,84,78,101,Organic Compost / General,Drip,0.0
Banana,Clay,112,53,174,7.7,26,45,20,65,Organic Compost / General,Drip,23.0
Chickpea,Loamy,13,56,50,8.0,34,62,44,85,Organic Compost / General,Sprinkler,0.0
Pigeonpeas,Loamy,63,15,36,5.6,35,81,32,47,DAP,Drip,0.0
Coffee,Red,65,17,77,6.0,26,51,65,222,Ammonium Sulphate,Sprinkler,0.0
Grapes,Sandy Loam,57,41,149,5.6,26,82,93,230,Organic Compost / General,Drip,0.0
Kidneybeans,Sandy Loam,24,25,15,5.9,20,68,40,60,SSP,Sprinkler,0.0
Watermelon,Sandy,67,42,84,7.4,30,51,56,192,Organic Compost / General,Drip,0.0
Blackgram,Loamy,0,30,0,7.3,37,41,54,43,Organic Compost / General,Furrow,0.0
Lentil,Loamy,14,52,11,6.6,30,80,44,94,Organic Compost / General,Sprinkler,0.0
Kidneybeans,Sandy Loam,9,17,7,6.6,26,37,92,189,DAP,Sprinkler,0.0
Lentil,Loamy,0,45,21,6.2,23,80,94,159,Organic Compost / General,Sprinkler,0.0
Papaya,Loamy,73,39,75,7.0,26,46,73,227,Ammonium Sulphate,Drip,0.0
Coffee,Red,130,18,53,5.0,31,63,71,82,SSP,Sprinkler,0.0
Apple,Clay Loam,93,69,80,5.7,20,84,85,223,MOP,Drip,0.0
Mango,Loamy,66,16,97,5.7,29,66,59,23,Ammonium Sulphate,Drip,0.0
Pigeonpeas,Loamy,0,55,26,6.9,38,35,37,92,Organic Compost / General,Drip,0.0
Mothbeans,Sandy,0,32,61,6.3,32,66,58,144,Organic Compost / General,Drip,0.0
Mothbeans,Sandy,5,13,46,6.0,32,76,32,183,SSP,Drip,0.0
Muskmelon,Sandy Loam,66,44,74,7.1,28,40,31,66,Organic Compost / General,Drip,0.0
Jute,Clay,44,16,34,7.1,29,43,86,230,Ammonium Sulphate,Flood,0.0
Jute,Clay,24,18,0,6.5,25,64,63,33,NPK 10-26-26,Flood,0.0
Grapes,Sandy Loam,87,63,121,5.6,23,89,45,222,Organic Compost / General,Drip,0.0
Mango,Loamy,113,35,112,6.2,24,73,88,124,Organic Compost / General,Drip,0.0
Papaya,Loamy,54,23,81,6.4,23,58,88,159,Urea,Drip,0.0
Grapes,Sandy Loam,86,64,147,6.7,17,74,93,20,Organic Compost / General,Drip,0.0
Coconut,Red,90,24,155,6.2,23,84,87,221,Ammonium Sulphate,Basin,0.0
Blackgram,Loamy,4,13,0,6.0,17,86,73,82,DAP,Furrow,0.0
Banana,Clay,141,55,183,6.7,34,65,83,103,Organic Compost / General,Drip,0.0
Chickpea,Loamy,0,54,24,6.7,23,63,28,105,Organic Compost / General,Sprinkler,0.0
Lentil,Loamy,3,48,0,5.9,19,47,52,102,Organic Compost / General,Sprinkler,0.0
Muskmelon,Sandy Loam,42,8,65,6.5,22,41,87,197,NPK 10-26-26,Drip,0.0
Orange,Black,74,62,64,5.6,15,66,48,22,MOP,Drip,0.0
Mothbeans,Sandy,0,29,44,8.2,22,78,68,41,Organic Compost / General,Drip,0.0
