crop_type,soil_moisture_%,soil_pH,nitrogen_ppm,phosphorus_ppm,potassium_ppm,temperature_C,rainfall_mm,humidity_%,sunlight_hours,row_spacing_cm,plant_spacing_cm,plant_density_per_sqm,pesticide_usage_ml,total_days,NDVI_index,yield_kg_per_ha
rice,68.89,5.99,54.3,25.89,82.47,26.73,975.78,83.52,5.05,15.2,5.89,111.69,289.87,96,0.601,3959.22
maize,55.77,5.73,52.16,68.45,47.8,23.02,668.01,62.71,5.4,64.34,29.39,5.29,226.34,100,0.839,6454.18
maize,44.81,5.9,105.92,32.3,69.63,18.91,632.83,70.04,6.96,68.73,21.45,6.78,348.79,94,0.591,7086.18
wheat,70.76,6.73,81.97,53.05,37.55,26.53,1171.49,61.7,5.6,15.29,6.12,106.8,267.86,127,0.508,4389.27
wheat,84.63,7.28,115.48,24.03,58.34,24.05,495.55,59.05,5.8,16.01,7.36,84.89,458.71,103,0.878,3707.89
rice,70.2,7.39,108.33,73.83,38.73,25.97,1064.45,75.23,8.62,13.89,5.16,139.36,106.05,121,0.706,3716.34
rice,80.12,6.4,95.73,29.44,58.96,26.33,400.49,66.75,9.38,20.65,6.77,71.57,64.09,121,0.528,4219.43
cotton,65.28,5.9,81.98,22.39,62.35,29.13,914.08,80.44,9.18,57.47,26.7,6.52,436.36,144,0.543,3063.8
rice,46.72,7.16,91.15,79.93,56.11,19.4,419.5,58.41,9.64,19.97,8.53,58.68,93.53,125,0.503,3992.54
maize,89.33,6.21,99.95,37.28,63.39,26.13,567.63,64.82,6.41,59.51,19.13,8.79,25.45,98,0.788,6598.68
wheat,41.25,6.94,50.97,52.33,38.56,18.34,711.39,61.67,9.67,17.16,6.55,89.04,112.81,116,0.629,3880.52
rice,67.12,6.72,60.69,73.74,39.89,23.12,1086.04,63.2,8.72,16.27,6.39,96.16,139.98,142,0.66,4356.27
rice,84.8,5.96,55.49,44.67,91.97,23.17,608.55,57.71,5.63,12.3,4.03,201.48,315.82,121,0.673,4228.16
cotton,83.05,7.45,114.67,32.36,95.7,31.32,405.92,69.34,7.03,59.01,25.76,6.58,201.8,98,0.503,2202.82
cotton,53.85,5.8,107.32,67.57,51.89,34.63,618.34,73.31,5.35,66.72,21.27,7.04,384.31,119,0.669,2581.51
soybean,42.78,7.08,66.72,23.14,47.06,31.2,765.36,62.36,9.49,34.71,16.0,18.01,167.07,130,0.787,2375.67
cotton,88.03,5.83,93.15,51.19,36.17,29.99,865.88,67.43,5.2,60.06,25.56,6.51,482.5,120,0.698,2960.37
wheat,68.12,5.51,102.07,66.34,50.54,32.1,872.04,55.08,8.7,10.0,4.76,210.23,75.53,96,0.652,4089.18
wheat,74.76,6.71,66.83,65.56,56.82,21.04,799.94,76.35,5.66,10.36,3.49,276.95,108.57,110,0.789,3547.23
soybean,85.72,7.27,58.13,39.86,94.83,34.62,578.82,80.47,9.11,27.57,8.79,41.25,4.14,133,0.651,1826.92
soybean,79.06,6.25,73.11,54.0,61.9,31.08,1173.1,63.09,6.58,22.12,10.1,44.78,351.49,138,0.704,1869.76
maize,45.72,6.6,96.78,77.23,52.49,33.5,537.84,79.11,8.51,60.65,29.25,5.64,339.57,107,0.78,7736.68
wheat,53.07,6.03,107.82,50.7,97.07,32.58,750.38,78.36,7.5,18.05,8.1,68.43,299.82,116,0.689,4758.1
soybean,71.34,7.4,84.39,48.48,44.27,20.93,1196.58,52.54,9.31,37.23,16.3,16.48,212.55,130,0.828,2096.2
cotton,52.83,5.69,60.6,63.67,63.12,32.91,702.46,59.15,6.31,65.43,22.17,6.89,404.91,116,0.709,2738.93
soybean,42.12,6.35,104.61,70.6,52.02,22.48,1135.83,78.12,5.19,32.95,13.29,22.82,416.61,123,0.832,1798.27
wheat,86.94,6.41,41.48,52.44,64.15,30.88,978.78,51.92,7.64,12.71,3.83,205.71,111.11,110,0.511,4196.75
cotton,58.97,6.52,98.41,39.57,89.9,26.12,797.86,67.53,5.63,65.95,22.25,6.82,454.25,147,0.646,2166.06
cotton,58.68,6.23,114.28,21.87,33.8,27.27,533.68,78.03,8.56,61.46,19.0,8.56,29.38,134,0.829,2879.79
cotton,62.67,6.07,92.68,33.27,98.05,25.99,856.25,78.98,5.99,63.9,20.91,7.48,285.16,108,0.674,2730.77
rice,81.05,7.19,44.48,44.98,32.13,26.48,1091.09,60.66,8.94,20.13,7.9,62.87,484.26,137,0.773,4041.36
maize,73.76,5.59,68.69,56.55,90.91,26.29,429.98,83.84,6.45,55.57,18.42,9.77,118.3,121,0.661,6030.32
cotton,70.6,7.25,64.01,74.07,94.48,27.13,1125.55,70.9,5.72,64.28,29.89,5.21,463.92,135,0.517,2871.79
cotton,62.75,6.71,42.03,53.0,59.18,18.79,984.53,53.54,7.8,59.13,18.45,9.17,245.99,90,0.83,3027.95
rice,48.18,5.59,68.91,79.57,88.36,21.88,623.67,53.66,9.9,24.28,7.49,54.98,385.53,113,0.681,3504.56
wheat,45.15,7.0,63.84,70.69,85.45,22.23,1163.5,69.5,6.48,10.0,4.7,212.82,392.4,133,0.643,3725.41
maize,72.47,6.7,84.16,51.44,30.01,33.78,643.56,72.85,8.8,62.44,20.24,7.91,50.3,146,0.66,6025.02
maize,71.96,5.51,62.57,64.24,39.12,19.9,874.57,77.94,5.71,60.95,30.46,5.39,21.49,139,0.888,7112.12
rice,75.7,7.26,92.96,79.62,98.25,26.24,844.32,75.14,6.29,18.13,7.43,74.27,496.69,101,0.832,3436.23
wheat,88.2,6.86,44.47,23.6,42.52,25.21,887.08,60.24,7.16,10.0,4.18,239.42,215.71,99,0.862,3953.09
maize,48.84,6.86,66.63,51.56,51.12,31.29,557.6,69.64,5.52,60.59,26.9,6.14,157.25,101,0.662,7806.26
maize,66.86,6.65,55.26,63.44,33.35,30.7,883.41,68.32,9.99,64.46,28.77,5.39,271.54,101,0.821,5899.85
maize,73.66,6.31,71.96,20.9,34.59,21.02,993.25,50.61,5.17,63.4,24.37,6.47,59.81,125,0.609,6322.65
wheat,46.67,6.73,103.93,33.46,80.61,33.83,880.14,72.39,8.75,12.62,5.84,135.63,30.33,134,0.69,4320.39
wheat,88.02,6.79,54.12,59.2,43.77,28.93,758.89,81.16,6.62,15.67,4.76,134.07,50.79,111,0.582,3963.33
cotton,64.02,6.63,95.04,66.11,42.45,23.87,579.54,75.14,8.52,54.78,22.16,8.24,129.17,96,0.502,3033.92
soybean,44.16,6.95,54.0,32.85,93.22,30.31,715.19,50.62,7.27,26.14,8.5,45.02,400.86,148,0.665,1805.21
wheat,54.42,6.01,66.02,20.54,93.67,25.23,1039.42,52.37,9.21,10.0,4.91,203.52,404.96,90,0.721,4301.56
rice,79.22,5.54,49.03,76.44,91.4,33.82,1020.81,53.86,8.07,25.38,11.66,33.8,385.06,148,0.507,3558.19
soybean,69.82,7.0,54.15,59.82,51.12,23.97,619.68,64.5,7.88,25.66,8.68,44.89,453.81,104,0.593,2032.82
maize,51.55,6.78,50.06,58.99,67.26,31.52,703.87,61.17,5.74,69.19,20.76,6.96,309.79,128,0.643,7594.04
wheat,74.92,7.48,118.31,74.02,91.37,32.41,1126.95,79.71,9.42,11.0,4.01,226.37,456.98,113,0.809,3778.91
wheat,85.39,6.57,70.73,75.77,53.01,33.4,1156.88,67.19,5.73,10.18,4.56,215.53,220.46,93,0.787,3919.51
cotton,57.04,6.84,100.06,77.34,86.15,26.4,1112.37,59.0,6.36,55.63,17.52,10.26,184.41,128,0.714,2228.02
soybean,40.22,7.38,52.35,74.61,62.31,29.37,476.08,82.68,9.13,27.2,9.78,37.59,253.27,141,0.512,1929.73
soybean,81.15,6.38,79.7,71.53,59.47,21.65,1030.22,80.65,9.16,34.55,13.04,22.2,152.92,124,0.69,2344.73
cotton,51.16,6.0,43.54,28.32,99.67,28.54,1030.07,78.39,8.07,63.71,25.67,6.12,266.28,136,0.643,2783.69
cotton,43.66,6.4,73.99,76.46,50.87,26.71,1019.46,67.73,7.83,59.62,20.61,8.14,216.65,91,0.749,2791.91
wheat,78.64,5.73,78.63,35.31,31.11,24.9,799.49,56.02,9.03,15.05,6.08,109.22,24.31,143,0.691,3946.75
maize,66.08,7.26,107.62,64.23,96.44,19.71,411.36,74.59,6.68,61.13,19.49,8.4,344.77,95,0.631,6166.27
wheat,74.64,7.02,60.74,28.67,83.31,24.42,823.22,64.08,6.43,14.21,6.75,104.25,170.19,140,0.795,4576.08
maize,43.1,5.78,49.63,42.64,60.39,25.51,659.57,62.63,8.58,52.87,18.86,10.03,387.43,94,0.592,5548.75
cotton,69.57,6.63,48.3,20.27,77.49,28.92,596.26,69.52,5.04,62.11,24.14,6.67,323.22,95,0.71,2176.81
wheat,65.85,6.79,98.9,67.38,79.58,26.63,487.24,68.28,7.93,21.27,7.19,65.37,19.47,108,0.636,3649.81
rice,49.85,7.37,71.91,52.28,95.39,32.06,475.33,61.1,9.67,11.36,5.11,172.46,327.51,122,0.537,4311.17
soybean,62.85,5.78,66.18,70.05,57.76,25.14,481.16,77.58,6.35,32.42,14.24,21.66,295.51,131,0.696,2041.73
rice,77.23,6.01,73.06,73.99,77.08,30.3,423.53,76.54,8.48,28.68,13.37,26.08,41.12,142,0.768,3622.06
soybean,81.88,7.49,80.71,49.87,87.35,32.61,702.62,78.58,7.57,29.54,13.1,25.84,227.73,120,0.615,2291.99
maize,67.77,7.33,55.45,61.49,73.2,24.83,534.51,74.85,5.43,64.88,26.61,5.79,218.98,130,0.889,8121.64
maize,73.22,6.67,66.87,24.01,99.75,28.06,714.82,81.1,5.71,56.7,17.66,9.99,446.08,143,0.743,6508.41
soybean,75.67,7.06,72.47,61.67,93.55,25.91,996.89,79.33,6.14,28.53,12.1,28.97,161.29,149,0.759,2135.67
cotton,89.35,6.89,66.76,25.18,44.5,25.72,472.81,53.49,5.2,59.88,19.11,8.74,41.21,105,0.651,2837.14
rice,58.2,5.7,66.06,62.91,61.88,20.91,1158.24,71.21,7.51,14.99,5.51,121.01,335.76,98,0.556,3933.64
cotton,53.35,7.07,114.24,61.9,68.35,20.21,497.41,77.99,8.89,55.87,27.63,6.48,99.3,127,0.781,2930.02
maize,53.73,6.35,74.93,45.13,84.28,22.14,454.57,62.0,7.7,52.83,23.3,8.12,109.89,124,0.788,7575.06
rice,79.39,5.79,60.8,35.3,41.32,32.62,1116.09,80.19,8.33,26.16,8.36,45.72,445.76,95,0.565,4072.07
cotton,59.86,5.99,77.06,64.15,67.98,32.46,1174.81,67.14,8.1,64.62,22.93,6.75,207.89,102,0.714,2402.0
rice,82.25,5.54,79.67,34.02,50.7,19.46,408.93,81.0,5.97,20.82,9.25,51.93,369.91,116,0.612,3506.26
soybean,72.43,6.5,58.63,22.96,87.47,34.05,540.68,62.82,5.54,36.02,17.61,15.76,154.99,124,0.598,1783.93
rice,53.87,5.64,49.09,69.08,37.89,32.74,559.99,80.48,8.28,16.94,8.1,72.89,55.17,112,0.721,4363.89
wheat,40.01,6.7,66.98,20.34,58.65,19.71,1115.35,69.52,7.69,16.26,6.34,96.96,304.62,114,0.586,4257.74
wheat,59.9,7.01,73.99,23.33,70.95,20.36,708.91,53.42,9.19,11.66,3.94,217.75,89.73,119,0.619,3937.77
maize,42.01,7.42,60.01,65.01,62.96,19.46,960.95,84.63,8.41,72.11,24.23,5.72,447.07,101,0.529,7124.45
soybean,80.36,6.73,110.38,47.07,50.89,29.38,984.09,74.78,6.08,40.04,12.92,19.33,461.88,117,0.818,2029.39
wheat,46.84,6.07,56.56,79.52,62.96,22.36,438.97,83.24,9.57,14.47,5.49,125.78,173.26,141,0.643,3684.76
soybean,49.29,7.47,41.09,60.53,81.86,28.99,969.85,82.6,6.89,32.19,12.57,24.72,99.29,132,0.866,1814.83
soybean,77.74,7.25,50.37,29.6,43.41,23.65,1033.14,60.77,9.65,28.94,9.64,35.86,201.25,138,0.751,1953.64
maize,76.84,7.14,106.12,32.37,60.07,26.66,624.85,71.68,6.36,54.54,17.06,10.75,25.45,119,0.676,7519.56
rice,40.08,6.19,42.84,70.93,66.35,20.53,401.47,65.82,5.89,23.42,8.07,52.9,204.08,128,0.742,4584.81
soybean,72.17,6.98,69.79,48.59,86.48,32.01,1128.49,69.23,9.12,26.08,11.82,32.42,102.18,97,0.825,1714.72
rice,60.87,6.41,70.8,47.41,99.6,19.78,828.67,79.77,9.51,28.49,11.82,29.7,411.85,122,0.825,4326.18
wheat,86.42,6.91,49.15,76.63,97.66,24.96,1108.46,81.58,5.23,18.18,8.51,64.67,498.38,104,0.742,3776.66
cotton,72.71,6.46,76.31,25.96,77.39,24.45,618.94,66.18,5.48,65.68,30.1,5.06,468.46,123,0.508,2733.1
rice,52.23,6.18,119.07,51.3,31.14,24.47,462.62,69.44,7.64,19.19,8.2,63.57,353.94,110,0.691,3771.13
wheat,74.81,5.56,88.42,63.68,98.53,30.1,905.01,74.55,9.36,19.32,7.66,67.58,473.5,135,0.77,4515.25
soybean,76.07,7.17,47.42,38.39,48.65,28.25,417.03,68.69,7.93,34.91,13.5,21.21,235.55,131,0.791,2267.89
cotton,67.68,7.35,108.98,59.52,84.85,30.94,1046.47,72.5,5.87,66.28,32.17,4.69,137.07,145,0.739,2896.81
cotton,63.98,7.47,66.52,77.99,76.05,20.18,441.66,55.03,9.29,59.41,21.08,7.99,20.02,95,0.588,2410.75
soybean,47.52,5.56,97.16,53.19,88.26,27.22,830.24,63.61,9.91,23.46,9.61,44.38,12.76,144,0.589,1853.82
soybean,58.11,6.12,85.73,57.32,84.02,26.39,923.33,56.94,9.0,36.06,14.8,18.74,386.33,124,0.769,2382.61
rice,53.13,6.91,45.38,59.22,30.84,23.19,1106.31,69.99,9.79,17.23,8.46,68.61,224.85,115,0.551,3560.22
soybean,79.73,6.81,49.12,25.12,88.28,19.01,456.46,50.85,6.98,31.91,10.81,28.99,333.89,117,0.823,2026.92
soybean,42.05,6.5,114.6,76.54,88.56,29.18,563.64,67.07,6.96,29.35,10.97,31.06,193.66,106,0.565,2307.29
wheat,65.15,6.69,76.81,47.26,35.89,24.48,603.65,79.67,9.4,10.0,3.25,307.68,61.22,93,0.756,4168.26
soybean,50.36,7.05,80.04,49.04,73.95,18.29,952.13,72.26,9.6,29.89,10.97,30.5,276.33,107,0.603,2039.67
wheat,78.99,6.78,74.51,46.72,97.55,18.84,529.96,61.76,5.44,10.0,4.74,210.77,171.65,141,0.831,4112.81
cotton,65.37,7.02,102.37,35.69,53.15,21.2,1071.65,76.91,6.27,58.8,21.09,8.06,325.56,120,0.625,2177.16
wheat,55.28,5.71,55.48,66.1,87.57,22.27,464.84,75.03,7.54,14.36,4.33,160.79,71.1,117,0.691,4064.79
cotton,43.32,6.64,81.85,20.84,39.81,31.19,925.91,71.92,8.69,56.16,26.02,6.84,195.64,142,0.821,2794.38
maize,79.24,7.29,88.99,30.17,55.04,19.13,489.56,51.77,5.78,55.9,22.04,8.12,133.35,141,0.643,7096.42
maize,80.49,6.92,103.48,60.19,45.93,28.68,1110.63,57.73,7.67,63.69,30.3,5.18,32.67,92,0.594,7367.62
rice,88.9,6.06,45.46,51.36,58.96,34.84,514.69,80.0,6.74,16.69,7.19,83.29,393.05,111,0.663,4027.65
maize,57.79,6.12,89.34,29.45,74.95,30.15,920.31,52.33,7.72,56.68,17.76,9.93,338.11,101,0.547,6980.43
maize,44.35,6.79,73.98,37.96,41.63,22.59,980.96,69.12,6.44,63.69,27.74,5.66,75.82,123,0.89,8319.44
soybean,70.21,6.9,78.67,58.02,82.05,27.22,974.11,65.71,8.56,26.26,12.84,29.67,287.64,142,0.787,2145.2
maize,58.61,5.62,69.95,36.64,52.85,29.07,675.55,56.91,7.47,66.65,32.86,4.57,267.08,107,0.557,7028.61
soybean,46.73,7.31,100.14,29.68,59.0,22.74,771.24,69.45,8.16,27.91,11.76,30.47,215.89,125,0.865,1732.51
cotton,42.9,6.67,46.55,26.67,49.91,33.54,847.69,77.25,9.18,56.06,25.91,6.88,40.57,136,0.766,2331.93
wheat,50.38,6.12,100.34,54.45,50.29,33.27,773.49,82.14,6.52,14.28,6.69,104.73,439.1,102,0.816,4837.04
cotton,48.74,5.86,97.6,36.51,50.44,25.15,1025.99,77.19,9.46,65.14,31.45,4.88,279.02,106,0.787,2435.95
maize,69.07,6.91,68.07,47.2,41.12,32.31,1134.71,75.45,5.63,61.62,20.53,7.9,168.42,127,0.668,8227.28
maize,87.95,5.72,50.25,36.89,36.74,31.9,939.78,81.9,7.01,66.61,31.83,4.72,303.53,105,0.636,6182.43
cotton,60.57,6.8,73.1,36.04,65.42,31.17,980.89,69.37,8.86,60.93,23.42,7.01,415.96,147,0.741,3009.61
maize,83.28,5.52,107.1,75.95,72.19,18.55,723.26,57.84,8.88,57.83,27.14,6.37,233.81,141,0.731,7110.77
soybean,79.1,6.87,108.41,74.03,40.66,33.7,1022.39,52.59,7.53,34.75,14.47,19.88,414.74,129,0.69,2207.32
maize,73.11,7.15,105.17,74.14,38.75,25.23,1155.87,58.27,5.54,63.56,20.37,7.73,71.55,117,0.539,7071.21
wheat,52.09,6.75,73.52,55.35,50.72,24.04,931.12,66.19,6.05,19.06,8.33,62.95,493.31,136,0.865,4043.05
soybean,63.83,6.97,102.41,64.18,57.48,31.05,1022.39,81.67,5.21,29.43,12.52,27.14,167.36,141,0.658,1972.98
cotton,40.2,7.39,57.64,73.49,43.54,22.13,848.67,64.71,9.16,61.76,30.55,5.3,257.32,146,0.677,2696.52
maize,84.94,7.29,92.84,70.83,43.15,28.87,827.86,53.7,6.95,61.95,21.83,7.4,277.96,126,0.815,5897.29
maize,52.55,7.4,59.42,27.06,71.61,31.8,881.95,73.83,8.34,62.12,27.05,5.95,482.31,91,0.794,6915.01
soybean,77.21,7.24,106.72,29.55,48.69,19.79,777.57,50.06,8.17,25.12,9.36,42.55,125.41,128,0.691,2182.3
rice,45.01,6.33,114.29,31.69,84.85,29.64,1018.48,66.06,5.91,25.85,10.56,36.64,331.71,101,0.819,4053.48
soybean,88.94,6.27,79.06,31.36,67.29,25.15,1198.56,77.68,9.7,36.44,13.75,19.95,152.72,118,0.875,2169.46
cotton,42.84,6.81,61.26,58.96,99.12,24.18,593.1,53.66,8.18,62.78,20.47,7.78,485.96,109,0.623,2930.71
rice,46.89,7.48,84.11,65.82,69.04,27.42,511.92,83.2,6.27,25.89,9.97,38.74,448.6,132,0.839,4033.65
maize,81.12,6.86,76.57,26.37,61.18,32.3,955.44,52.1,7.83,65.31,32.5,4.71,166.31,117,0.67,7305.78
cotton,47.46,7.49,88.87,48.6,81.09,33.26,957.12,59.01,9.88,54.54,23.73,7.73,26.71,90,0.863,2969.34
wheat,72.73,6.69,71.86,29.7,50.67,28.96,829.27,67.5,7.48,17.79,6.54,85.9,2.95,141,0.581,4504.33
rice,79.22,5.68,95.72,73.47,51.34,27.8,556.56,75.16,7.85,17.8,7.76,72.4,84.12,92,0.645,3811.02
rice,71.85,6.05,42.41,56.58,96.01,24.33,894.7,71.86,8.43,17.33,6.92,83.33,256.69,94,0.707,4542.72
wheat,48.38,7.27,91.52,42.43,49.06,27.53,720.44,52.22,6.6,19.63,6.33,80.41,175.58,90,0.854,4486.91
cotton,65.47,6.58,46.6,48.16,35.99,29.57,810.5,64.31,5.39,53.65,23.33,7.99,146.11,109,0.675,2461.99
wheat,89.48,6.64,113.4,44.23,68.39,19.92,841.48,54.01,5.58,15.5,6.53,98.81,53.23,137,0.592,4612.28
cotton,77.42,6.56,95.75,24.69,85.73,25.86,400.83,59.73,9.44,62.07,25.92,6.21,218.46,145,0.707,2237.66
cotton,43.98,6.42,118.42,28.85,82.69,25.95,546.49,67.17,8.82,63.42,23.32,6.76,139.16,141,0.741,2844.23
rice,53.11,6.94,97.48,73.31,66.16,31.13,920.84,75.43,7.22,23.93,9.31,44.89,38.35,112,0.516,3807.55
soybean,49.44,6.91,119.3,51.52,48.93,28.5,614.66,83.78,9.88,31.07,11.35,28.35,498.74,99,0.764,1700.55
cotton,42.51,5.61,113.69,70.53,68.7,24.97,962.79,53.32,6.02,64.64,20.1,7.69,157.51,144,0.661,2621.01
cotton,89.93,7.32,116.1,35.0,96.3,25.95,585.04,55.9,9.46,64.74,22.51,6.86,250.61,147,0.78,2537.57
wheat,66.44,6.58,97.79,65.23,94.77,18.76,494.7,50.53,8.28,22.25,10.98,40.92,396.04,115,0.575,4092.42
cotton,79.79,6.47,57.34,44.93,77.44,23.36,531.78,71.84,8.67,56.86,20.58,8.55,19.12,142,0.58,2650.26
soybean,82.36,6.96,63.91,67.01,65.07,33.1,470.07,79.62,8.97,31.69,12.38,25.49,265.06,99,0.514,1883.25
rice,67.61,6.22,76.23,48.19,47.23,28.37,1026.77,55.35,6.4,13.32,6.5,115.54,81.2,101,0.509,3485.73
cotton,56.29,6.67,64.83,35.25,59.33,23.07,710.0,68.15,7.35,69.69,32.38,4.43,110.31,128,0.696,2314.91
cotton,89.04,6.1,58.35,67.29,38.98,33.89,1107.43,73.07,6.35,58.4,21.93,7.81,341.16,102,0.723,2397.54
wheat,40.78,6.24,87.21,44.12,34.8,20.28,768.36,57.88,8.41,21.22,9.33,50.52,489.66,138,0.597,3969.26
maize,83.46,6.98,110.96,47.2,73.9,19.96,767.71,84.17,8.9,53.83,16.67,11.15,169.96,94,0.558,7356.67
maize,84.13,5.68,54.57,71.22,93.2,25.74,971.5,72.69,9.94,62.38,28.65,5.6,492.13,139,0.569,5883.5
wheat,85.08,6.42,101.57,23.15,94.31,29.68,1093.25,74.83,8.27,22.73,8.21,53.62,40.04,90,0.808,4279.18
rice,53.67,6.93,118.1,53.88,65.43,20.43,684.26,65.7,7.88,22.13,6.98,64.78,51.12,104,0.652,4034.06
rice,75.61,7.04,93.79,23.03,73.27,19.31,901.01,72.01,8.05,25.68,10.25,37.98,66.28,107,0.641,4460.81
wheat,53.96,7.09,42.08,71.38,80.7,34.76,569.86,64.41,8.76,14.45,4.99,138.85,298.93,114,0.747,4352.96
rice,64.59,7.29,53.12,72.42,60.22,27.15,706.08,59.59,9.76,15.28,6.27,104.45,315.32,109,0.833,4454.3
rice,70.75,6.54,65.65,42.02,75.3,26.37,971.18,50.82,9.37,19.21,5.84,89.1,259.55,139,0.544,3995.98
rice,40.58,5.96,49.58,27.25,85.25,22.26,829.26,82.83,6.13,14.18,5.96,118.23,408.41,101,0.796,3143.1
cotton,84.23,7.45,89.29,24.53,48.51,22.09,411.17,73.07,7.32,59.04,27.11,6.25,429.12,119,0.625,3022.95
cotton,53.22,5.76,94.2,24.16,50.74,30.58,987.78,78.81,6.93,58.0,27.99,6.16,176.52,124,0.666,2518.91
wheat,64.75,6.68,106.07,53.04,53.89,21.85,620.06,75.75,7.84,17.45,7.83,73.13,460.37,138,0.893,4739.69
soybean,89.97,6.6,41.08,40.05,94.86,28.51,717.18,68.92,9.89,29.33,12.93,26.36,30.76,103,0.731,1989.83
rice,53.26,6.69,104.87,36.85,51.02,21.46,848.35,82.41,7.05,29.12,13.6,25.25,336.33,113,0.754,3732.34
soybean,75.07,5.93,59.91,63.56,77.43,24.47,980.66,59.15,7.48,27.32,10.26,35.68,381.62,100,0.692,2357.58
soybean,78.38,6.99,81.66,56.18,75.24,29.84,952.85,66.02,8.2,27.14,10.89,33.84,148.97,137,0.817,2168.12
wheat,78.94,7.47,48.07,23.86,99.27,21.57,1147.54,83.12,9.69,11.44,4.26,204.97,194.66,98,0.557,4854.48
rice,74.66,6.15,103.76,57.56,55.35,26.75,971.98,75.24,5.23,24.58,10.13,40.16,318.63,148,0.893,3323.97
maize,76.81,5.62,80.17,45.63,77.34,22.29,1165.25,76.32,9.53,57.87,26.23,6.59,307.36,148,0.884,7872.26
cotton,43.87,5.86,82.53,33.31,79.14,20.54,857.25,63.16,9.35,57.94,27.77,6.21,345.01,93,0.522,2808.64
rice,81.78,7.0,110.77,36.11,86.47,27.49,889.03,57.66,5.02,20.57,8.47,57.41,199.16,93,0.838,3761.22
wheat,85.28,6.11,81.78,74.3,52.83,23.16,649.81,52.78,5.42,16.17,5.95,103.84,72.7,96,0.589,3891.27
rice,67.37,5.69,76.5,34.66,56.92,18.41,1197.43,59.5,7.91,21.6,6.77,68.44,271.54,113,0.79,3872.87
soybean,61.41,6.81,67.96,50.99,65.19,25.33,608.69,68.53,8.42,30.66,9.7,33.62,394.4,119,0.842,2082.03
cotton,42.08,7.33,65.9,69.29,98.32,25.85,838.71,71.6,5.42,64.64,30.58,5.06,201.43,90,0.888,2715.85
wheat,56.83,7.16,69.53,72.89,89.72,24.47,490.25,76.27,9.83,17.21,6.47,89.82,281.88,114,0.565,4392.7
rice,55.45,7.48,52.38,62.67,58.8,34.72,509.05,61.64,5.58,25.69,12.58,30.93,92.4,112,0.736,3489.91
cotton,88.31,7.04,83.94,70.24,65.48,26.88,1082.12,77.37,6.97,64.03,28.52,5.48,345.68,118,0.845,2190.31
cotton,44.04,7.39,62.16,27.81,68.65,25.65,1107.07,55.94,7.86,62.61,22.91,6.97,35.1,113,0.636,2240.61
rice,84.23,7.22,65.15,70.37,59.69,27.12,1160.39,57.13,8.7,20.99,7.21,66.05,194.94,92,0.691,4264.32
maize,63.81,5.7,119.36,41.28,84.58,24.77,452.69,54.17,6.53,59.48,18.1,9.29,393.27,114,0.535,6882.12
wheat,55.45,6.91,72.92,40.2,31.71,22.36,400.15,59.03,7.78,15.26,7.36,89.07,285.99,109,0.694,4944.74
wheat,49.18,5.58,85.7,66.42,37.58,25.59,832.05,52.38,8.97,26.4,10.4,36.42,7.54,137,0.885,3765.5
rice,66.24,7.15,88.22,30.0,62.53,26.02,442.18,75.44,8.71,19.02,8.69,60.48,96.5,133,0.689,3289.33
rice,56.02,7.05,98.81,64.94,78.37,19.26,731.2,71.55,8.1,20.5,6.46,75.51,36.88,100,0.601,3495.1
cotton,71.43,5.55,115.82,48.58,38.39,21.17,521.7,63.25,5.26,61.19,24.79,6.59,470.9,131,0.698,2174.29
maize,88.61,7.28,58.19,53.72,32.2,20.77,784.3,56.49,6.81,59.5,18.51,9.08,351.28,107,0.641,6331.18
cotton,53.34,5.55,103.48,25.56,35.12,23.45,767.45,64.88,8.33,68.58,24.95,5.84,26.73,115,0.757,2272.88
cotton,74.96,7.32,62.46,48.38,79.51,18.19,416.08,74.14,6.7,59.56,18.53,9.06,434.65,98,0.684,2515.22
cotton,85.74,5.94,92.84,53.67,53.38,29.59,957.2,51.83,6.19,63.43,19.72,8.0,378.76,132,0.696,2259.04
soybean,79.78,6.16,118.46,36.73,88.85,25.43,987.49,66.6,6.67,21.17,9.52,49.63,367.5,134,0.539,2106.55
rice,62.46,7.14,54.8,78.18,73.72,29.7,673.34,52.52,9.73,22.1,8.34,54.27,426.34,96,0.804,3826.47
wheat,53.96,6.3,118.64,59.97,88.09,19.66,419.87,52.59,9.37,11.45,4.65,187.84,396.94,108,0.515,3712.57
wheat,84.91,6.12,118.07,58.22,83.73,30.45,686.62,68.65,9.98,10.02,3.66,272.78,454.78,135,0.698,3651.12
wheat,43.1,6.19,51.71,43.33,93.72,23.52,669.71,68.71,9.02,18.86,6.79,78.13,17.18,92,0.756,3974.24
wheat,58.18,5.59,88.53,77.34,93.13,29.02,865.69,82.79,9.98,11.32,3.47,254.8,40.97,114,0.764,4358.85
cotton,86.71,5.94,88.36,63.06,88.04,33.72,1004.95,54.18,5.43,55.56,24.79,7.26,156.66,129,0.824,2266.67
cotton,86.59,6.03,72.77,30.51,57.72,26.53,504.73,66.25,6.68,70.46,22.78,6.23,260.56,149,0.642,2238.44
soybean,88.67,7.33,89.92,49.09,30.79,19.19,460.5,78.75,6.11,31.26,15.24,20.99,474.17,125,0.603,1977.9
wheat,49.31,5.91,68.94,31.49,64.77,19.96,815.2,52.33,7.15,17.27,5.65,102.45,471.9,91,0.556,3850.28
